"DeviceProtection","InternetService","MonthlyCharges","OnlineBackup","OnlineSecurity","PaperlessBilling","SeniorCitizen","StreamingMovies","StreamingTV","TechSupport","Churn","Contract","Dependents","Partner","PaymentMethod","TotalCharges","tenure","MultipleLines","PhoneService","customerID","gender"
"Yes","Fiber optic",93.276,"Yes","Yes","No",0,"Yes","No","No","No","Month-to-month","No","No","Credit card (automatic)",4916.73,47,"No phone service","No","2821-VAGYR","Female"
"Yes","Fiber optic",75.724,"Yes","Yes","Yes",1,"No","Yes","Yes","Yes","One year","Yes","Yes","Credit card (automatic)",3295.1,52,"No phone service","No","3722-BOQXH","Male"
"Yes","DSL",78.06,"No","Yes","No",0,"No","Yes","Yes","No","Month-to-month","No","Yes","Mailed check",6686.1224,62,"Yes","Yes","9039-DCXZN","Male"
"Yes","DSL",35.8,"Yes","Yes","Yes",0,"Yes","No","Yes","Yes","One year","No","No","Credit card (automatic)",5135.1,61,"No phone service","No","6053-DRYDO","Male"
"No internet service","No",20.857,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","One year","No","Yes","Electronic check",1102.04,61,"Yes","Yes","2669-HOCMA","Male"
"Yes","DSL",63.663,"Yes","No","No",1,"No","Yes","Yes","No","Two year","Yes","No","Mailed check",3568.16,37,"No phone service","No","6506-SRVVC","Female"
"No","DSL",80.42,"Yes","Yes","Yes",1,"No","Yes","No","No","Month-to-month","No","Yes","Mailed check",4301.22,49,"Yes","Yes","1148-SLSCI","Female"
"Yes","Fiber optic",114.4,"Yes","No","No",1,"Yes","Yes","Yes","Yes","Month-to-month","Yes","No","Bank transfer (automatic)",2405.714,28,"No phone service","No","0106-RSJYX","Male"
"Yes","Fiber optic",116.867,"Yes","Yes","No",0,"No","Yes","Yes","No","One year","Yes","No","Credit card (automatic)",3860.41,40,"Yes","Yes","4841-BQZWR","Male"
"Yes","DSL",43.7,"No","Yes","Yes",0,"Yes","Yes","Yes","No","Two year","No","No","Credit card (automatic)",1886.53,35,"Yes","Yes","9406-XMTDG","Female"
"No","Fiber optic",76.765,"No","No","No",1,"No","No","No","Yes","Two year","No","Yes","Electronic check",413.469,13,"No phone service","No","2017-IFUWR","Male"
"Yes","Fiber optic",97.939,"No","No","Yes",1,"No","Yes","No","Yes","One year","Yes","No","Bank transfer (automatic)",2548.1633,25,"No phone service","No","4670-ZJDXZ","Female"
"Yes","DSL",80.857,"No","No","Yes",0,"Yes","No","Yes","No","Month-to-month","Yes","No","Electronic check",237.96,5,"Yes","Yes","5540-SGFYL","Female"
"Yes","Fiber optic",70.4,"No","No","No",0,"Yes","Yes","No","No","Two year","Yes","Yes","Electronic check",8317.551,72,"No","Yes","2894-TOEWZ","Male"
"No","Fiber optic",106.9,"No","No","Yes",0,"Yes","No","Yes","Yes","Month-to-month","No","No","Credit card (automatic)",6931.43,67,"No","Yes","1589-EKXLR","Female"
"Yes","DSL",39.827,"No","Yes","No",0,"Yes","No","No","No","Month-to-month","Yes","Yes","Credit card (automatic)",1922.04,28,"Yes","Yes","9160-TRDKZ","Female"
"No internet service","No",21.48,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","Month-to-month","No","Yes","Bank transfer (automatic)",6699.18,66,"Yes","Yes","1630-ZGMLP","Male"
"No","Fiber optic",82.388,"Yes","Yes","No",0,"Yes","No","Yes","Yes","Month-to-month","No","No","Electronic check",1502.86,30,"No phone service","No","2697-IZKAP","Female"
"Yes","Fiber optic",97.214,"Yes","No","Yes",0,"No","Yes","No","Yes","Two year","No","No","Credit card (automatic)",193.47,13,"No phone service","No","0017-EDZWP","Female"
"No","Fiber optic",101.265,"Yes","Yes","Yes",0,"No","No","Yes","Yes","One year","No","Yes","Mailed check",406.122,16,"No","Yes","2786-BFXUR","Male"
"Yes","DSL",41.49,"Yes","No","Yes",0,"No","No","No","No","Two year","Yes","No","Electronic check",4538.776,40,"No phone service","No","9359-CPQDM","Male"
"No","Fiber optic",88.1,"No","No","Yes",0,"Yes","No","No","No","One year","No","Yes","Bank transfer (automatic)",4971.43,60,"No phone service","No","6078-JTHPY","Female"
"No","Fiber optic",100.0,"No","No","Yes",1,"No","Yes","Yes","No","Two year","Yes","Yes","Bank transfer (automatic)",6061.22,62,"Yes","Yes","1271-UGUTL","Female"
"Yes","Fiber optic",73.97,"Yes","Yes","Yes",0,"Yes","No","No","No","One year","Yes","No","Credit card (automatic)",2199.59,41,"No phone service","No","1781-GCFFW","Female"
"Yes","Fiber optic",110.602,"Yes","No","No",0,"No","Yes","Yes","No","One year","No","Yes","Electronic check",4287.755,40,"No","Yes","7371-MQSPT","Female"
"No internet service","No",19.41,"No internet service","No internet service","Yes",1,"No internet service","No internet service","No internet service","No","Two year","Yes","Yes","Electronic check",1395.51,67,"No phone service","No","1264-CFSHV","Male"
"No","Fiber optic",80,"Yes","Yes","No",0,"Yes","No","Yes","Yes","One year","Yes","No","Bank transfer (automatic)",6760.0,68,"No phone service","No","2867-HKGXR","Female"
"No","DSL",60,"No","Yes","Yes",0,"Yes","No","No","No","Two year","Yes","Yes","Bank transfer (automatic)",2780.408,40,"No","Yes","9008-EBJWU","Male"
"No internet service","No",20.5,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","One year","Yes","Yes","Credit card (automatic)",740.82,6,"No","Yes","5322-GEYHE","Male"
"No","Fiber optic",98.02,"No","Yes","No",0,"Yes","Yes","No","No","One year","No","Yes","Mailed check",6527,71,"No","Yes","2780-FXQQL","Female"
"No","DSL",61.337,"Yes","No","Yes",0,"No","No","Yes","No","Month-to-month","No","Yes","Mailed check",5749.39,54,"No phone service","No","4440-PQUVN","Female"
"No","DSL",88,"No","No","Yes",0,"No","Yes","Yes","Yes","Month-to-month","Yes","Yes","Electronic check",1189.3878,26,"Yes","Yes","5807-BYDEP","Male"
"No","Fiber optic",109.388,"Yes","No","No",0,"No","Yes","Yes","Yes","One year","Yes","No","Credit card (automatic)",2820.82,28,"No","Yes","0739-ZBKCY","Female"
"Yes","DSL",52.29,"No","Yes","Yes",0,"Yes","No","No","Yes","Month-to-month","Yes","Yes","Bank transfer (automatic)",7155.51,69,"No phone service","No","2591-ZLAXO","Female"
"No","DSL",48.09,"No","No","Yes",1,"Yes","No","No","No","Month-to-month","Yes","No","Bank transfer (automatic)",266.94,5,"No phone service","No","5317-SXDLD","Female"
"No","DSL",40.15,"No","No","Yes",0,"No","No","No","No","Two year","Yes","Yes","Credit card (automatic)",7991.84,66,"Yes","Yes","1273-SPVRL","Male"
"Yes","Fiber optic",112.204,"No","No","Yes",0,"Yes","Yes","Yes","No","Month-to-month","No","Yes","Electronic check",889.388,5,"No phone service","No","5017-RUECH","Female"
"No","DSL",64.041,"No","No","No",0,"No","Yes","No","No","Month-to-month","No","Yes","Electronic check",2004.898,34,"No phone service","No","7921-MXAEE","Female"
"No","Fiber optic",98.5,"No","No","Yes",1,"No","No","Yes","No","One year","No","No","Electronic check",4106.53,57,"No phone service","No","5693-EOQHU","Male"
"Yes","DSL",85.85,"Yes","Yes","Yes",1,"Yes","No","No","Yes","One year","No","No","Credit card (automatic)",3368.98,40,"No","Yes","4891-WGKUN","Male"
"No","Fiber optic",71.14,"No","No","Yes",1,"Yes","Yes","No","No","One year","No","No","Bank transfer (automatic)",5866.53,71,"Yes","Yes","0059-TGTOZ","Male"
"No","Fiber optic",71.633,"Yes","Yes","Yes",1,"Yes","Yes","Yes","No","Two year","No","No","Bank transfer (automatic)",7561.63,71,"No phone service","No","2407-ZMYLL","Male"
"Yes","Fiber optic",108.3,"No","Yes","Yes",0,"Yes","No","Yes","Yes","One year","No","Yes","Electronic check",4586.939,44,"No phone service","No","0791-RDFSO","Male"
"No","DSL",47.878,"No","No","Yes",0,"No","Yes","Yes","Yes","One year","No","Yes","Mailed check",1461.22,16,"Yes","Yes","3690-CYULU","Female"
"Yes","Fiber optic",69.398,"No","Yes","No",1,"No","Yes","No","No","One year","No","No","Electronic check",4837.143,62,"No","Yes","3244-DBPZD","Female"
"No","DSL",81.6,"Yes","No","Yes",0,"No","No","No","No","One year","Yes","No","Bank transfer (automatic)",1857.14,70,"No phone service","No","6611-FIBRS","Female"
"Yes","DSL",55.65,"Yes","No","Yes",1,"Yes","No","Yes","No","Month-to-month","Yes","Yes","Bank transfer (automatic)",3536.327,51,"No phone service","No","2170-ZSMOO","Male"
"No","Fiber optic",92.27,"Yes","No","Yes",1,"Yes","Yes","Yes","Yes","One year","No","No","Bank transfer (automatic)",1409.796,22,"Yes","Yes","5193-OADNX","Male"
"Yes","DSL",49.908,"No","Yes","No",0,"Yes","Yes","Yes","No","One year","No","Yes","Electronic check",3689.39,59,"No phone service","No","5208-JMGNM","Female"
"Yes","DSL",72.684,"No","Yes","No",1,"Yes","No","No","Yes","Month-to-month","No","No","Credit card (automatic)",5209.388,62,"No","Yes","6853-IEUYL","Female"
"Yes","DSL",45.5,"Yes","No","Yes",0,"Yes","No","Yes","No","One year","No","No","Electronic check",6286.122,71,"No","Yes","5608-ERXFJ","Male"
"No","DSL",34.898,"No","No","No",0,"No","No","No","No","One year","No","No","Electronic check",6609.796,72,"No phone service","No","3644-GVHXY","Male"
"Yes","Fiber optic",86.9,"Yes","No","No",0,"No","Yes","No","Yes","Two year","No","Yes","Electronic check",5802.449,71,"No phone service","No","5980-GJTCH","Female"
"No","Fiber optic",112.163,"No","Yes","Yes",0,"Yes","No","Yes","No","Two year","Yes","Yes","Bank transfer (automatic)",8166,72,"No phone service","No","1578-XOWXE","Male"
"No internet service","No",18.9,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","One year","Yes","Yes","Mailed check",919.18,46,"No phone service","No","9267-FOUHQ","Female"
"Yes","DSL",46.12,"Yes","Yes","No",0,"No","No","No","Yes","Month-to-month","Yes","No","Bank transfer (automatic)",2089.39,28,"No phone service","No","6543-QHPME","Female"
"No","DSL",40.96,"Yes","No","Yes",0,"Yes","Yes","Yes","No","One year","No","Yes","Credit card (automatic)",2626.1224,46,"No phone service","No","5093-BSJDJ","Female"
"No","DSL",39.27,"No","No","Yes",0,"Yes","Yes","Yes","No","One year","Yes","Yes","Electronic check",7855.51,65,"No","Yes","9539-KPWPX","Male"
"No","Fiber optic",76.54,"Yes","No","No",1,"No","Yes","No","No","Two year","Yes","Yes","Electronic check",3891.0204,59,"No phone service","No","3874-CZMOK","Male"
"Yes","DSL",88.66,"No","Yes","No",1,"Yes","No","Yes","No","Two year","Yes","No","Bank transfer (automatic)",3196.3265,35,"No phone service","No","7746-SHANT","Male"
"No","DSL",48.55,"Yes","No","No",1,"Yes","No","No","No","One year","No","Yes","Credit card (automatic)",3530.61,51,"No phone service","No","4629-YRWLI","Male"
"No","Fiber optic",87.2,"No","No","No",1,"No","Yes","Yes","No","Month-to-month","No","No","Credit card (automatic)",5696.33,59,"No","Yes","4564-LJPFS","Female"
"No","DSL",81.673,"No","No","No",1,"Yes","No","Yes","Yes","One year","No","Yes","Bank transfer (automatic)",1539.184,23,"No","Yes","5435-GBGAR","Female"
"Yes","Fiber optic",77.755,"No","No","Yes",0,"No","Yes","Yes","No","Two year","No","No","Mailed check",1199.59,48,"No phone service","No","0193-DGFNE","Female"
"No","DSL",56.42,"No","Yes","No",1,"No","Yes","Yes","No","Two year","No","No","Bank transfer (automatic)",2817.9592,30,"No","Yes","8022-HALCM","Female"
"No","DSL",43.694,"No","No","No",0,"Yes","Yes","No","Yes","Two year","No","Yes","Bank transfer (automatic)",711.02,14,"Yes","Yes","6374-KDZVL","Male"
"No","Fiber optic",114.571,"Yes","No","No",1,"Yes","Yes","No","Yes","Month-to-month","No","Yes","Credit card (automatic)",6142.45,68,"No phone service","No","5976-UEVTJ","Male"
"No","DSL",72.09,"Yes","No","No",1,"No","No","Yes","No","Month-to-month","No","No","Electronic check",4208.571,44,"No phone service","No","3094-KPYIE","Male"
"No","Fiber optic",70.847,"No","No","No",0,"No","No","Yes","Yes","Month-to-month","Yes","Yes","Credit card (automatic)",4638.7755,44,"No phone service","No","5582-KXCOG","Male"
"Yes","Fiber optic",115.633,"Yes","Yes","No",1,"Yes","Yes","No","No","Two year","Yes","Yes","Mailed check",4474.29,40,"No phone service","No","0666-VCSYW","Male"
"No","Fiber optic",116.6,"No","No","Yes",0,"No","No","Yes","No","Two year","No","Yes","Credit card (automatic)",2327.76,22,"No phone service","No","9632-HRDBU","Female"
"Yes","DSL",34.06,"Yes","No","No",0,"No","No","Yes","No","One year","Yes","No","Bank transfer (automatic)",7743.673,71,"No phone service","No","0967-TPCHB","Female"
"Yes","DSL",49.847,"Yes","Yes","Yes",0,"No","Yes","Yes","No","One year","No","Yes","Electronic check",2581.6327,34,"No phone service","No","8221-SHQOX","Male"
"Yes","DSL",79.276,"No","No","Yes",1,"No","Yes","No","Yes","One year","Yes","Yes","Bank transfer (automatic)",2689.8,32,"Yes","Yes","6955-LTQQB","Male"
"No","Fiber optic",95.5,"No","Yes","Yes",0,"Yes","No","No","No","One year","No","Yes","Mailed check",1041.224,71,"No phone service","No","8515-NXKLF","Male"
"No","Fiber optic",93.53,"No","Yes","Yes",1,"No","No","No","Yes","Month-to-month","Yes","No","Bank transfer (automatic)",3767.76,69,"No","Yes","4533-EJYEM","Female"
"Yes","DSL",65.143,"Yes","Yes","No",1,"Yes","No","Yes","No","Two year","No","No","Credit card (automatic)",3305.714,40,"Yes","Yes","5790-WTPAZ","Male"
"Yes","DSL",51.765,"No","Yes","Yes",0,"Yes","No","Yes","No","Two year","No","No","Credit card (automatic)",1802.86,18,"No phone service","No","1584-ZARKE","Female"
"No","DSL",65.673,"No","Yes","No",1,"Yes","No","No","Yes","Month-to-month","Yes","Yes","Bank transfer (automatic)",761.22,7,"No phone service","No","0567-JRDCG","Female"
"No","Fiber optic",70.704,"No","No","Yes",0,"Yes","No","No","No","One year","Yes","Yes","Credit card (automatic)",3596.33,55,"No phone service","No","3104-DWQKB","Male"
"Yes","Fiber optic",108.97,"Yes","Yes","Yes",0,"Yes","Yes","No","No","One year","Yes","Yes","Bank transfer (automatic)",902.449,51,"No phone service","No","3627-PRFPG","Male"
"Yes","DSL",81.051,"Yes","Yes","Yes",1,"Yes","Yes","Yes","Yes","Month-to-month","No","No","Bank transfer (automatic)",1380.0,68,"No","Yes","7091-VPUPO","Female"
"No","DSL",45.0,"Yes","No","Yes",0,"Yes","Yes","Yes","No","Two year","Yes","Yes","Mailed check",5545.306122448979,53,"Yes","Yes","0947-OOOZR","Male"
"No","Fiber optic",93.98,"No","Yes","No",0,"No","Yes","Yes","Yes","Month-to-month","No","No","Mailed check",1367.76,27,"Yes","Yes","5935-JOWIN","Female"
"No internet service","No",20.03,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","Yes","One year","Yes","Yes","Electronic check",3071.8367,56,"Yes","Yes","2859-ASSNX","Female"
"No","DSL",67.969,"No","No","No",0,"No","No","Yes","Yes","Month-to-month","Yes","Yes","Credit card (automatic)",1971.84,23,"No","Yes","9698-EYAPF","Male"
"No internet service","No",24.79,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Two year","No","Yes","Credit card (automatic)",1546.53,64,"Yes","Yes","4833-EOGPW","Male"
"No","Fiber optic",92.16,"No","Yes","Yes",0,"No","No","Yes","Yes","One year","No","Yes","Bank transfer (automatic)",3133.47,53,"Yes","Yes","0623-PPCOV","Female"
"No","Fiber optic",107.286,"Yes","No","Yes",0,"No","Yes","Yes","No","One year","No","Yes","Bank transfer (automatic)",7938.3673,71,"No","Yes","6104-LNIEA","Male"
"No internet service","No",26.418,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","Yes","One year","Yes","Yes","Mailed check",2811.43,33,"Yes","Yes","3778-CYEBW","Male"
"No","DSL",39.76,"Yes","No","Yes",0,"No","Yes","Yes","No","One year","Yes","Yes","Mailed check",2960.82,32,"No","Yes","0676-SVOJV","Female"
"Yes","DSL",65.408,"No","Yes","Yes",0,"Yes","No","No","Yes","One year","No","No","Mailed check",4658.78,53,"Yes","Yes","0443-THULO","Female"
"Yes","DSL",24.49,"Yes","Yes","No",0,"No","Yes","No","No","Two year","Yes","Yes","Mailed check",4240.0,41,"Yes","Yes","2832-IOTYZ","Female"
"Yes","DSL",49.673,"No","Yes","Yes",0,"Yes","No","Yes","No","Two year","No","Yes","Credit card (automatic)",8477.96,71,"Yes","Yes","7107-QMWOJ","Male"
"No","Fiber optic",107.857,"Yes","Yes","Yes",0,"No","Yes","No","Yes","Two year","No","Yes","Bank transfer (automatic)",306.9387755102041,12,"No","Yes","5292-JQJDL","Female"
"No internet service","No",20.5,"No internet service","No internet service","Yes",1,"No internet service","No internet service","No internet service","Yes","Month-to-month","No","Yes","Credit card (automatic)",7322.857,68,"No","Yes","1877-UYSDI","Female"
"No internet service","No",18.92,"No internet service","No internet service","Yes",1,"No internet service","No internet service","No internet service","No","Month-to-month","Yes","No","Credit card (automatic)",1408.98,56,"Yes","Yes","2828-JQASG","Male"
"Yes","Fiber optic",99.04,"No","No","Yes",1,"No","Yes","No","No","One year","Yes","No","Credit card (automatic)",3307.755,66,"No","Yes","3812-CDIFU","Female"
"Yes","Fiber optic",100.673,"Yes","Yes","Yes",0,"No","No","No","Yes","One year","No","No","Mailed check",2033.061,48,"Yes","Yes","6826-NRFHB","Male"
"No internet service","No",25.0,"No internet service","No internet service","Yes",1,"No internet service","No internet service","No internet service","No","Two year","Yes","Yes","Bank transfer (automatic)",8053.47,70,"No","Yes","0874-FJNKX","Male"
"Yes","Fiber optic",81.21,"Yes","Yes","Yes",0,"No","Yes","Yes","No","Month-to-month","No","Yes","Electronic check",505.714,26,"No phone service","No","3760-HJFRA","Male"
"No internet service","No",18.5,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Month-to-month","Yes","No","Mailed check",471.837,6,"No phone service","No","0293-GFODO","Female"
"Yes","DSL",61.694,"No","Yes","No",0,"No","No","No","No","Month-to-month","Yes","Yes","Credit card (automatic)",3087.76,38,"No","Yes","4097-KAHDS","Female"
"Yes","DSL",53.255,"Yes","Yes","Yes",1,"Yes","No","No","No","Two year","No","No","Bank transfer (automatic)",4565.31,49,"No","Yes","0887-FAVAR","Male"
"No","DSL",50.194,"No","Yes","No",0,"Yes","No","No","Yes","Month-to-month","Yes","No","Mailed check",4207.347,48,"No phone service","No","2789-NVPSZ","Male"
"No","Fiber optic",74.5,"Yes","Yes","No",0,"No","No","Yes","No","Two year","Yes","Yes","Bank transfer (automatic)",7068.163,66,"No phone service","No","2998-EFWVT","Male"
"Yes","Fiber optic",99.827,"No","Yes","No",0,"No","Yes","No","No","One year","No","Yes","Bank transfer (automatic)",7131,67,"No","Yes","2284-SYROW","Female"
"No","Fiber optic",116.092,"No","Yes","No",0,"No","Yes","No","No","Two year","Yes","No","Credit card (automatic)",795.1,32,"Yes","Yes","1076-KTNFD","Female"
"No","DSL",43.408,"Yes","Yes","No",0,"Yes","Yes","No","No","Two year","Yes","No","Credit card (automatic)",6732.245,67,"No","Yes","1264-SIAAI","Male"
"Yes","Fiber optic",102.5,"Yes","No","Yes",0,"Yes","No","No","No","One year","Yes","Yes","Electronic check",1708.57,69,"No phone service","No","1642-GPWCE","Female"
"Yes","Fiber optic",83.102,"No","No","No",0,"Yes","No","No","No","Two year","Yes","No","Bank transfer (automatic)",5287.755,51,"No","Yes","8256-MBMAI","Female"
"Yes","DSL",56.704,"Yes","No","No",0,"No","Yes","Yes","Yes","Month-to-month","Yes","Yes","Electronic check",4207.35,54,"No","Yes","6979-NHLAO","Male"
"No","DSL",41.84,"Yes","No","No",0,"No","No","No","No","One year","No","Yes","Credit card (automatic)",7894.286,71,"No phone service","No","2150-TEEYA","Male"
"No","DSL",75,"No","Yes","No",1,"Yes","No","Yes","Yes","One year","Yes","No","Credit card (automatic)",6402.45,62,"No","Yes","1149-LXNHA","Female"
"Yes","DSL",48.22,"Yes","No","No",0,"No","No","No","No","One year","Yes","No","Electronic check",944.49,30,"Yes","Yes","7419-OMLUL","Male"
"Yes","Fiber optic",95.1,"No","No","No",1,"Yes","No","No","No","Two year","Yes","No","Bank transfer (automatic)",640.0,7,"No phone service","No","1417-DVQJS","Female"
"No internet service","No",20.4,"No internet service","No internet service","No",1,"No internet service","No internet service","No internet service","No","Two year","No","No","Credit card (automatic)",7881.22,72,"Yes","Yes","6050-PBHPB","Male"
"No internet service","No",26.2,"No internet service","No internet service","No",1,"No internet service","No internet service","No internet service","Yes","One year","No","No","Electronic check",4038.776,66,"No","Yes","9397-PHFGU","Male"
"Yes","DSL",43.24,"Yes","No","Yes",0,"Yes","Yes","Yes","No","Two year","Yes","Yes","Electronic check",6065.3061,71,"No","Yes","6468-KFETF","Male"
"Yes","Fiber optic",107.959,"No","Yes","Yes",0,"No","No","No","Yes","Month-to-month","No","Yes","Bank transfer (automatic)",130.2,10,"Yes","Yes","6116-ZHIHH","Female"
"No","Fiber optic",93.7,"No","Yes","No",0,"No","Yes","No","Yes","One year","No","No","Credit card (automatic)",6155.51,69,"Yes","Yes","4921-ZKSJB","Male"
"No","DSL",45.082,"Yes","No","No",1,"Yes","Yes","No","No","One year","No","Yes","Bank transfer (automatic)",616.327,33,"No phone service","No","6437-LOYPP","Male"
"Yes","Fiber optic",108.61,"No","No","No",1,"Yes","Yes","Yes","No","One year","Yes","Yes","Electronic check",1913.06,33,"No","Yes","8260-VCYFB","Female"
